currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,1024000,1000,1024000,0.01,128,546.22139520594,1024,11790610,sharded,1.8678140566342012,1000,600.0,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,544.495163471188,1024,13496686,sharded,1.8742939670831475,1000,600.0,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,543.4606160786755,1024,13406904,sharded,1.8779944117463847,1000,600.0,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,68.10157194895713,1024,12958126,sharded,14.987965340433385,1000,75.0,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,68.12635748535239,1024,11341710,sharded,14.981573030958602,1000,75.0,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,68.29134254774924,1024,11790610,sharded,14.939521789114764,1000,75.0,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,68.07557209014621,1024,13496686,sharded,14.991339311090734,1000,75.0,ed25519,gossip,direct,shard,3,nonce_hash_set,1252.440000000036,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,67.94625021452707,1024,13406904,sharded,15.020931939254977,1000,75.0,ed25519,gossip,direct,shard,4,nonce_hash_set,1274.9000000000362,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,8.526391436814093,1024,12958126,sharded,119.71113542746151,1000,9.375,ed25519,gossip,direct,shard,0,nonce_hash_set,1265.9300000000342,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,8.5294732537148,1024,11341710,sharded,119.66037874091295,1000,9.375,ed25519,gossip,direct,shard,1,nonce_hash_set,1117.7600000000105,2,2,2,3
memo,1000,1024000,1000,1024000,0.01,128,8.55008596547537,1024,11790610,sharded,119.32511604206736,1000,9.375,ed25519,gossip,direct,shard,2,nonce_hash_set,1162.6600000000133,2,2,2,3
