currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated
memo,1000,1000,1000,1000,0.01,1,20.85561285066448,4096,245245,conventional,195.75702149319233,245
memo,1000,1000,1000,1000,0.01,128,0.2260935744011048,4096,307475,sharded,18057.26971178034,245
memo,1000,1000,1000,1000,0.01,32,0.6741952589723645,4096,260435,sharded,6055.564168879112,245
memo,1000,1000,1000,1000,0.01,1,10.681087242439,2048,489489,conventional,191.55257593270326,489
memo,1000,1000,1000,1000,0.01,32,0.3588577497711988,2048,519807,sharded,5701.394985493865,489
memo,1000,1000,1000,1000,0.01,128,0.14546957930986418,2048,613695,sharded,14064.72600496747,489
memo,1000,1000,1000,1000,0.01,8,1.2598248021898397,2048,496335,sharded,1624.0272230668625,489
memo,1000,1000,1000,1000,0.01,6,1.6530592567266544,2048,494379,sharded,1237.6989915670301,489
memo,1000,1000,1000,1000,0.01,9,1.1187925470503948,2048,497313,sharded,1828.74812711723,489
memo,1000,1000,1000,1000,0.01,4,2.5677441205694893,2048,492423,sharded,796.8043850869973,489
memo,1000,1000,1000,1000,0.01,2,5.088985026454583,2048,490467,sharded,402.0427972209095,489
memo,1000,1000,1000,1000,0.01,256,0.12163208437623192,2048,738879,sharded,16821.135521467153,489
memo,1000,1000,1000,1000,0.01,16,0.6858494132461314,2048,504159,sharded,2983.14722668849,489
memo,1000,1000,1000,1000,0.01,64,0.214691888788389,2048,551103,sharded,9529.888560753938,489
memo,1000,1000,1000,1000,0.01,32,0.21055572679008597,1024,1038551,sharded,4865.892127694456,977
memo,1000,1000,1000,1000,0.01,4,1.2529227320867826,1024,983839,sharded,817.7211788012319,977
memo,1000,1000,1000,1000,0.01,128,0.10883954131911751,1024,1226135,sharded,9413.320205245156,977
memo,1000,1000,1000,1000,0.01,9,0.5987246863809492,1024,993609,sharded,1711.2062968737876,977
memo,1000,1000,1000,1000,0.01,1,5.1455429915045166,1024,977977,conventional,199.1124075963256,977
memo,1000,1000,1000,1000,0.01,256,0.1029329819362121,1024,1476247,sharded,9953.480742098538,977
memo,1000,1000,1000,1000,0.01,8,0.650734045382226,1024,991655,sharded,1574.4396050879313,977
memo,1000,1000,1000,1000,0.01,16,0.36668858825919887,1024,1007287,sharded,2794.0369191545515,977
memo,1000,1000,1000,1000,0.01,64,0.13861982483430577,1024,1101079,sharded,7391.016794700995,977
memo,1000,1000,1000,1000,0.01,6,0.8602405856784678,1024,987747,sharded,1190.9940898926695,977
memo,1000,1000,1000,1000,0.01,2,2.3973442337972637,1024,979931,sharded,427.3651814308059,977
