currency,nodes,neighbors,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,seed,conflict_check,broadcast_cpu_seconds,hop_p50,hop_p90,hop_p99,hop_max
memo,1000,400,524288000,1000,524288000,0.01,512,0.4908704615600957,524288,161421892,sharded,1066924.4638096488,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.48989345057440575,524288,161421928,sharded,1069089.8916609492,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,400,524288000,1000,524288000,0.01,512,0.4901735480275182,524288,161421914,sharded,1068464.363504572,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,16040.000000000642,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.49113781126294104,524288,203971808,sharded,1066256.1179180674,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.4913835928722073,524288,203971864,sharded,1065781.1445002786,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.491181278286928,524288,203971808,sharded,1066161.759720183,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.4903520953337716,524288,203971860,sharded,1068018.929629587,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,450,524288000,1000,524288000,0.01,512,0.4903362893418169,524288,203971834,sharded,1068026.2085087702,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,20294.999999998985,2,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.49054313040509695,524288,251521828,sharded,1067569.6050773982,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.49051679261429504,524288,251521852,sharded,1067651.9782510253,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.4903060597531045,524288,251521894,sharded,1068154.7119032603,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.49027761133911263,524288,251521832,sharded,1068151.9447107206,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,500,524288000,1000,524288000,0.01,512,0.4909700759618013,524288,251521834,sharded,1066647.5079445464,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,25050.00000000067,1,2,2,2
memo,1000,50,524288000,1000,524288000,0.01,512,0.5201554872932835,524288,47407994,sharded,1006808.8115827558,1000,0.146484375,ed25519,gossip,direct,shard,0,nonce_hash_set,4637.30500000002,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.5205897241989252,524288,47380460,sharded,1005984.7431792261,1000,0.146484375,ed25519,gossip,direct,shard,1,nonce_hash_set,4636.330000000004,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.5201794984418029,524288,47388562,sharded,1006730.8411205844,1000,0.146484375,ed25519,gossip,direct,shard,2,nonce_hash_set,4636.640000000002,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.5204553597138776,524288,47374570,sharded,1006254.2929482212,1000,0.146484375,ed25519,gossip,direct,shard,3,nonce_hash_set,4635.340000000015,2,2,3,3
memo,1000,50,524288000,1000,524288000,0.01,512,0.5199339438963798,524288,47415722,sharded,1007265.3846665819,1000,0.146484375,ed25519,gossip,direct,shard,4,nonce_hash_set,4639.250000000011,2,2,3,3
