currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated,blocktime in configuration file
memo,1000,1000,1000,1000,0.01,2,10.471363629874036,8192,123369,sharded,776.5064406335414,123,9.375
memo,1000,1000,1000,1000,0.01,2,1174.1826131622965,8192,123369,sharded,6.924886478189677,123,1200.0
memo,1000,1000,1000,1000,0.01,2,75.8808813327283,8192,123369,sharded,107.15586268903785,123,75.0
memo,1000,1000,1000,1000,0.01,2,37.15651207464,8192,123369,sharded,218.8332770438542,123,37.5
memo,1000,1000,1000,1000,0.01,2,21.8262749190641,8192,123369,sharded,372.53637329157516,123,18.75
memo,1000,1000,1000,1000,0.01,2,274.9422393688433,8192,123369,sharded,29.57378000367895,123,300.0
memo,1000,1000,1000,1000,0.01,2,5.606467103551903,8192,123369,sharded,1450.3039348365512,123,4.6875
memo,1000,1000,1000,1000,0.01,2,142.1974660517627,8192,123369,sharded,57.18161881909438,123,150.0
memo,1000,1000,1000,1000,0.01,2,619.4731447613102,8192,123369,sharded,13.12580112564202,123,600.0
memo,1000,1000,1000,1000,0.01,2,1189.8857516443684,4096,245735,sharded,3.431113153022641,245,1200.0
memo,1000,1000,1000,1000,0.01,2,79.74149711810165,4096,245735,sharded,51.19834465879937,245,75.0
memo,1000,1000,1000,1000,0.01,2,36.09101069497769,4096,245735,sharded,113.12048552936066,245,37.5
memo,1000,1000,1000,1000,0.01,2,10.35743212611041,4096,245735,sharded,394.1742126187025,245,9.375
memo,1000,1000,1000,1000,0.01,2,151.3568223758909,4096,245735,sharded,26.973562135984245,245,150.0
memo,1000,1000,1000,1000,0.01,2,574.5184587332986,4096,245735,sharded,7.106181865875353,245,600.0
memo,1000,1000,1000,1000,0.01,2,312.5719072693253,4096,245735,sharded,13.06141901467637,245,300.0
memo,1000,1000,1000,1000,0.01,2,4.865750553283119,4096,245735,sharded,839.0550662952721,245,4.6875
memo,1000,1000,1000,1000,0.01,2,19.549006926426713,4096,245735,sharded,208.84092314388846,245,18.75
