currency,nodes,wallets,miners,transactions,interval,shards,block size,mode,blocktime in configuration file,sig_scheme,broadcast_protocol,shard_comm_protocol,verify_mode,conflict_check,n_seeds,tps_mean,tps_std,tps_ci95_halfwidth,tps_n,average block time_mean,average block time_std,average block time_ci95_halfwidth,average block time_n,messages_mean,messages_std,messages_ci95_halfwidth,messages_n,broadcast_cpu_seconds_mean,broadcast_cpu_seconds_std,broadcast_cpu_seconds_ci95_halfwidth,broadcast_cpu_seconds_n,hop_p50_mean,hop_p50_std,hop_p50_ci95_halfwidth,hop_p50_n,hop_p90_mean,hop_p90_std,hop_p90_ci95_halfwidth,hop_p90_n,hop_p99_mean,hop_p99_std,hop_p99_ci95_halfwidth,hop_p99_n,hop_max_mean,hop_max_std,hop_max_ci95_halfwidth,hop_max_n
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,37.5,ed25519,gossip,direct,shard,nonce_hash_set,5,3813.206543,7.342133,9.115001,5,34.224111,0.061314,0.076119,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,4.6875,ed25519,gossip,direct,shard,nonce_hash_set,5,29432.105919,51.781399,64.284791,5,4.434054,0.007226,0.008971,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,600.0,ed25519,gossip,direct,shard,nonce_hash_set,5,239.491995,0.466927,0.579673,5,544.918485,0.989094,1.227925,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,75.0,ed25519,gossip,direct,shard,nonce_hash_set,5,1911.569909,3.705463,4.600202,5,68.270384,0.123174,0.152916,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,131072000,1000,131072000,0.01,128,131072,sharded,9.375,ed25519,gossip,direct,shard,nonce_hash_set,5,15018.388006,27.815234,34.531638,5,8.689586,0.014949,0.018559,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,0.146484375,ed25519,gossip,direct,shard,nonce_hash_set,5,59581.373906,40.152052,49.847364,5,0.273807,0.000180,0.000223,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,0.29296875,ed25519,gossip,direct,shard,nonce_hash_set,5,40113.098487,33.236680,41.262174,5,0.406695,0.000287,0.000356,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,0.5859375,ed25519,gossip,direct,shard,nonce_hash_set,5,24253.942926,29.585582,36.729463,5,0.672625,0.000728,0.000904,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,1200.0,ed25519,gossip,direct,shard,nonce_hash_set,5,14.972006,0.029207,0.036260,5,1089.621976,1.978983,2.456839,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,150.0,ed25519,gossip,direct,shard,nonce_hash_set,5,119.667965,0.233050,0.289323,5,136.325765,0.247143,0.306820,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,18.75,ed25519,gossip,direct,shard,nonce_hash_set,5,950.482073,1.826110,2.267052,5,17.163738,0.030664,0.038068,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,1.171875,ed25519,gossip,direct,shard,nonce_hash_set,5,13543.308533,20.746610,25.756189,5,1.204566,0.001681,0.002087,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,2.34375,ed25519,gossip,direct,shard,nonce_hash_set,5,7191.464571,12.414326,15.411950,5,2.268497,0.003609,0.004480,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,300.0,ed25519,gossip,direct,shard,nonce_hash_set,5,59.864852,0.116698,0.144877,5,272.510938,0.494549,0.613965,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
memo,1000,16384000,1000,16384000,0.01,128,16384,sharded,37.5,ed25519,gossip,direct,shard,nonce_hash_set,5,477.195460,0.923936,1.147034,5,34.186885,0.061589,0.076461,5,12598807.200000,977470.314387,1213495.126285,5,1214.738000,70.317812,87.297098,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,2.000000,0.000000,0.000000,5,3.000000,0.000000,0.000000,5
