currency,nodes,wallets,miners,transactions,interval,shards,average block time,block size,messages,mode,tps,no. of blocks generated
memo,1000,1000,1000,1000,0.01,8,1.507411142553105,2048,496335,sharded,1357.2871509930783,489
memo,1000,1000,1000,1000,0.01,64,0.4639402488872851,2048,551103,sharded,4410.028618897001,489
memo,1000,1000,1000,1000,0.01,256,0.3765574829279837,2048,738879,sharded,5433.406233603963,489
memo,1000,1000,1000,1000,0.01,6,1.9621095193503808,2048,494379,sharded,1042.7500375863399,489
memo,1000,1000,1000,1000,0.01,2,5.151285894915739,2048,490467,sharded,397.18039665988897,489
memo,1000,1000,1000,1000,0.01,4,2.7871440286745495,2048,492423,sharded,734.081107399431,489
memo,1000,1000,1000,1000,0.01,16,0.9297314182482569,2048,504159,sharded,2200.62454047864,489
memo,1000,1000,1000,1000,0.01,6,1.1182892561893136,1024,987747,sharded,916.1685563537424,977
memo,1000,1000,1000,1000,0.01,4,1.5176660253465597,1024,983839,sharded,675.0770171552792,977
memo,1000,1000,1000,1000,0.01,16,0.6097596002044979,1024,1007287,sharded,1680.2383317708466,977
memo,1000,1000,1000,1000,0.01,64,0.3866377457968575,1024,1101079,sharded,2649.8743709497157,977
memo,1000,1000,1000,1000,0.01,2,2.7756574350246086,1024,979931,sharded,369.11667862924895,977
memo,1000,1000,1000,1000,0.01,32,0.45975518544766236,1024,1038551,sharded,2228.4500226599307,977
memo,1000,1000,1000,1000,0.01,8,0.9222364909825412,1024,991655,sharded,1110.9313754624131,977
memo,1000,1000,1000,1000,0.01,1,5.330522271648221,1024,977977,conventional,192.2028276437669,977
memo,1000,1000,1000,1000,0.01,9,0.8395697090433583,1024,993609,sharded,1220.3173153975151,977
memo,1000,1000,1000,1000,0.01,256,0.3574468693779481,1024,1476247,sharded,2866.2761971082205,977
memo,1000,1000,1000,1000,0.01,128,0.35761202693874944,1024,1226135,sharded,2864.9524519608617,977
memo,1000,1000,1000,1000,0.01,1,3.975983918230921,2400,417417,conventional,603.3931686121186,417
memo,1000,1000,1000,1000,0.01,128,0.34849066659718647,2400,523335,sharded,6884.205990931842,417
memo,1000,1000,1000,1000,0.01,16,0.5339104606143327,2400,429927,sharded,4493.415491451002,417
memo,1000,1000,1000,1000,0.01,8,0.7654564050537331,2400,423255,sharded,3134.1844145961163,417
memo,1000,1000,1000,1000,0.01,6,0.9052445335085558,2400,421587,sharded,2650.2027308287607,417
memo,1000,1000,1000,1000,0.01,4,1.2460443132172088,2400,419919,sharded,1925.358118747722,417
memo,1000,1000,1000,1000,0.01,9,0.7173907189180482,2400,424089,sharded,3344.176989619298,417
memo,1000,1000,1000,1000,0.01,32,0.41957884045720295,2400,443271,sharded,5717.832510709959,417
memo,1000,1000,1000,1000,0.01,64,0.36683676979451474,2400,469959,sharded,6539.915658171449,417
memo,1000,1000,1000,1000,0.01,256,0.3526745416118652,2400,630087,sharded,6802.536763236184,417
memo,1000,1000,1000,1000,0.01,2,2.2158950889296483,2400,418251,sharded,1082.6692774209898,417
memo,1000,1000,1000,1000,0.01,9,0.5831048470310989,2100,485109,sharded,3597.013589201646,477
memo,1000,1000,1000,1000,0.01,256,0.3484058900796448,2100,720747,sharded,6020.093570234248,477
memo,1000,1000,1000,1000,0.01,8,0.6179010292978369,2100,484155,sharded,3394.4530907865123,477
memo,1000,1000,1000,1000,0.01,32,0.3850810109263411,2100,507051,sharded,5446.739774715639,477
memo,1000,1000,1000,1000,0.01,1,2.7950561952887716,2100,477477,conventional,750.409262695884,477
memo,1000,1000,1000,1000,0.01,16,0.4596410335982349,2100,491787,sharded,4563.2045561309615,477
memo,1000,1000,1000,1000,0.01,6,0.7142110965470266,2100,482247,sharded,2936.7172658624545,477
memo,1000,1000,1000,1000,0.01,4,0.9390432394597815,2100,480339,sharded,2233.5883701232283,477
memo,1000,1000,1000,1000,0.01,2,1.5608744009799609,2100,478431,sharded,1343.7571001122064,477
memo,1000,1000,1000,1000,0.01,128,0.3389342844653332,2100,598635,sharded,6188.326630954147,477
memo,1000,1000,1000,1000,0.01,64,0.34902095500544567,2100,537579,sharded,6009.484612943896,477
